pl_name,hostname,default_flag,discoverymethod,disc_year,soltype,pl_orbper,pl_rade,sy_refname,rastr,ra,decstr,dec,sy_dist
TOI-2095 b,TOI-2095,1,Transit,2023,Published Confirmed,17.66484000,1.250,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176000
TOI-2095 c,TOI-2095,1,Transit,2023,Published Confirmed,28.17232000,1.330,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176000
TOI-2096 b,TOI-2096,1,Transit,2023,Published Confirmed,3.11906330,1.243,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h06m28.49s,151.6186989,+74d49m37.96s,74.8272107,48.4809000
TOI-2096 c,TOI-2096,1,Transit,2023,Published Confirmed,6.38784000,1.914,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h06m28.49s,151.6186989,+74d49m37.96s,74.8272107,48.4809000
TOI-2107 b,TOI-2107,1,Transit,2024,Published Confirmed,2.45454670,13.574,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m11.17s,286.7965405,-58d41m48.61s,-58.6968348,236.7050000
TOI-2109 b,TOI-2109,1,Transit,2021,Published Confirmed,0.67247414,15.098,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h52m44.71s,253.1862971,+16d34m47.70s,16.5799153,262.0410000
TOI-2120 b,TOI-2120,1,Transit,2024,Published Confirmed,5.79981640,2.122,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m01.76s,23.5073150,+65d30m50.36s,65.5139877,32.1755000
TOI-2128 b,TOI-2128,1,Transit,2024,Published Confirmed,16.34136000,2.089,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h07m55.63s,256.9817998,+32d06m19.09s,32.1053027,36.5780000
TOI-2134 b,TOI-2134,1,Transit,2023,Published Confirmed,9.22920050,2.690,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000
TOI-2134 c,TOI-2134,1,Transit,2023,Published Confirmed,95.50000000,7.270,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h07m44.52s,271.9355015,+39d04m22.54s,39.0729269,22.6202000
TOI-2136 b,TOI-2136,1,Transit,2022,Published Confirmed,7.85192800,2.190,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m42.32s,281.1763433,+36d33m47.27s,36.5631318,33.3631000
TOI-2141 b,TOI-2141,1,Transit,2023,Published Confirmed,18.26157000,3.050,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h15m02.96s,258.7623456,+18d20m25.24s,18.3403449,77.6820000
TOI-2145 b,TOI-2145,1,Transit,2023,Published Confirmed,10.26112700,12.419,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h35m01.94s,263.7580753,+40d41m42.15s,40.6950428,224.7310000
TOI-2152 A b,TOI-2152,1,Transit,2023,Published Confirmed,3.37735120,14.359,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h45m21.35s,26.3389717,+77d47m24.44s,77.7901231,303.0060000
TOI-2154 b,TOI-2154,1,Transit,2023,Published Confirmed,3.82408010,16.287,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h44m06.76s,71.0281482,+84d21m51.35s,84.3642652,296.4600000
TOI-2158 b,TOI-2158,1,Transit,2022,Published Confirmed,8.60077000,10.761,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h27m14.41s,276.8100527,+20d31m36.79s,20.5268868,198.4730000
TOI-216.02,TOI-216,1,Transit,2019,Published Confirmed,17.16073000,8.000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m55.20s,73.9800129,-63d15m37.19s,-63.2603301,177.9450000
TOI-216.01,TOI-216,1,Transit,2019,Published Confirmed,34.52552800,10.100,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m55.20s,73.9800129,-63d15m37.19s,-63.2603301,177.9450000
TOI-2180 b,TOI-2180,1,Transit,2022,Published Confirmed,260.79000000,11.321,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h31m46.47s,277.9436300,+56d39m02.44s,56.6506789,116.6850000
TOI-2184 b,TOI-2184,1,Transit,2022,Published Confirmed,6.90683000,11.400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m19.95s,100.8331246,-66d56m51.56s,-66.9476563,788.3170000
TOI-2193 A b,TOI-2193 A,1,Transit,2022,Published Confirmed,2.12257350,19.840,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h54m45.90s,313.6912320,-72d48m16.71s,-72.8046404,337.0640000
TOI-2194 b,TOI-2194,1,Transit,2023,Published Confirmed,15.33759700,1.989,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m37.52s,299.1563393,-31d20m06.65s,-31.3351812,19.5711000
TOI-2196 b,TOI-2196,1,Transit,2022,Published Confirmed,1.19472680,3.510,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h49m21.62s,312.3400744,-70d29m06.26s,-70.4850723,259.9470000
TOI-220 b,TOI-220,1,Transit,2021,Published Confirmed,10.69526400,3.030,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h07m11.93s,91.7996988,-61d59m49.96s,-61.9972098,90.7402000
TOI-2202 b,TOI-2202,1,Transit,2021,Published Confirmed,11.91010000,11.321,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h24m54.82s,51.2284214,-73d57m27.16s,-73.9575458,235.9330000
TOI-2207 b,TOI-2207,1,Transit,2022,Published Confirmed,8.00196800,11.153,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h30m23.21s,307.5966925,-44d53m15.43s,-44.8876181,373.3450000
TOI-2236 b,TOI-2236,1,Transit,2022,Published Confirmed,3.53159020,14.370,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m39.84s,20.1660113,-86d58m47.87s,-86.9799650,355.5900000
TOI-2257 b,TOI-2257,1,Transit,2021,Published Confirmed,35.18934600,2.194,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h58m57.51s,194.7396141,+77d39m42.18s,77.6617157,57.7911000
